,ID,Name,Age,Photo,Nationality,Club,Club Logo,Value,Wage,Special,Preferred Foot,
0,158023,L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,Argentina,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€110.5M,€565K,2202,Left,
1,20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,Portugal,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€77M,€405K,2228,Right,
2,190871,Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€118.5M,€290K,2143,Right,
3,193080,De Gea,27,https://cdn.sofifa.org/players/4/19/193080.png,Spain,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€72M,€260K,1471,Right,
4,192985,K. De Bruyne,27,https://cdn.sofifa.org/players/4/19/192985.png,Belgium,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€102M,€355K,2281,Right,
5,183277,E. Hazard,27,https://cdn.sofifa.org/players/4/19/183277.png,Belgium,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€93M,€340K,2142,Right,
6,177003,L. Modrić,32,https://cdn.sofifa.org/players/4/19/177003.png,Croatia,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€67M,€420K,2280,Right,
7,176580,L. Suárez,31,https://cdn.sofifa.org/players/4/19/176580.png,Uruguay,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€80M,€455K,2346,Right,
8,155862,Sergio Ramos,32,https://cdn.sofifa.org/players/4/19/155862.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€51M,€380K,2201,Right,
9,200389,J. Oblak,25,https://cdn.sofifa.org/players/4/19/200389.png,Slovenia,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€68M,€94K,1331,Right,
10,188545,R. Lewandowski,29,https://cdn.sofifa.org/players/4/19/188545.png,Poland,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€77M,€205K,2152,Right,
11,182521,T. Kroos,28,https://cdn.sofifa.org/players/4/19/182521.png,Germany,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€76.5M,€355K,2190,Right,
12,182493,D. Godín,32,https://cdn.sofifa.org/players/4/19/182493.png,Uruguay,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€44M,€125K,1946,Right,
13,168542,David Silva,32,https://cdn.sofifa.org/players/4/19/168542.png,Spain,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€60M,€285K,2115,Left,
14,215914,N. Kanté,27,https://cdn.sofifa.org/players/4/19/215914.png,France,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€63M,€225K,2189,Right,
15,211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,Argentina,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€89M,€205K,2092,Left,
16,202126,H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,England,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€83.5M,€205K,2165,Right,
17,194765,A. Griezmann,27,https://cdn.sofifa.org/players/4/19/194765.png,France,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€78M,€145K,2246,Left,
18,192448,M. ter Stegen,26,https://cdn.sofifa.org/players/4/19/192448.png,Germany,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€58M,€240K,1328,Right,
19,192119,T. Courtois,26,https://cdn.sofifa.org/players/4/19/192119.png,Belgium,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€53.5M,€240K,1311,Left,
20,189511,Sergio Busquets,29,https://cdn.sofifa.org/players/4/19/189511.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€51.5M,€315K,2065,Right,
21,179813,E. Cavani,31,https://cdn.sofifa.org/players/4/19/179813.png,Uruguay,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€60M,€200K,2161,Right,
22,167495,M. Neuer,32,https://cdn.sofifa.org/players/4/19/167495.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€38M,€130K,1473,Right,
23,153079,S. Agüero,30,https://cdn.sofifa.org/players/4/19/153079.png,Argentina,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€64.5M,€300K,2107,Right,
24,138956,G. Chiellini,33,https://cdn.sofifa.org/players/4/19/138956.png,Italy,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€27M,€215K,1841,Left,
25,231747,K. Mbappé,19,https://cdn.sofifa.org/players/4/19/231747.png,France,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€81M,€100K,2118,Right,
26,209331,M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,Egypt,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€69.5M,€255K,2146,Left,
27,200145,Casemiro,26,https://cdn.sofifa.org/players/4/19/200145.png,Brazil,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€59.5M,€285K,2170,Right,
28,198710,J. Rodríguez,26,https://cdn.sofifa.org/players/4/19/198710.png,Colombia,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€69.5M,€315K,2171,Left,
29,198219,L. Insigne,27,https://cdn.sofifa.org/players/4/19/198219.png,Italy,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€62M,€165K,2017,Right,
30,197781,Isco,26,https://cdn.sofifa.org/players/4/19/197781.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€73.5M,€315K,2137,Right,
31,190460,C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,Denmark,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€73.5M,€205K,2117,Right,
32,189242,Coutinho,26,https://cdn.sofifa.org/players/4/19/189242.png,Brazil,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€69.5M,€340K,2175,Right,
33,188567,P. Aubameyang,29,https://cdn.sofifa.org/players/4/19/188567.png,Gabon,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€59M,€265K,2069,Right,
34,178603,M. Hummels,29,https://cdn.sofifa.org/players/4/19/178603.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€46M,€160K,2038,Right,
